,Accumulation (mm),Bucket content (mm),amount NRT (mm),amountRT
2019-04-24 18:50:00,15.31,2067.19,0.32,0.56
2019-04-24 18:51:00,15.31,2066.56,0.0,0.01
2019-04-24 18:52:00,15.75,2067.06,0.44,0.13
2019-04-24 18:53:00,17.28,2067.45,1.52,0.45
2019-04-24 18:54:00,17.58,2067.44,0.3,0.18
2019-04-24 18:55:00,17.71,2067.25,0.14,0.0
2019-04-24 18:56:00,17.71,2067.27,0.0,0.0
2019-04-24 18:57:00,17.71,2067.23,0.0,0.0
2019-04-24 18:58:00,17.71,2067.43,0.0,0.15
2019-04-24 18:59:00,17.71,2067.1,0.0,0.03
2019-04-24 19:00:00,17.71,2066.26,0.0,0.0
2019-04-24 19:01:00,17.71,2065.25,0.0,0.0
2019-04-24 19:02:00,17.71,2064.5,0.0,0.0
2019-04-24 19:03:00,17.71,2063.96,0.0,0.0
2019-04-24 19:04:00,17.71,2063.95,0.0,0.0
2019-04-24 19:05:00,17.71,2062.78,0.0,0.0
2019-04-24 19:06:00,17.71,2061.13,0.0,0.0
2019-04-24 19:07:00,17.71,2060.09,0.0,0.0
2019-04-24 19:08:00,17.71,2059.69,0.0,0.0
2019-04-24 19:09:00,17.71,2058.86,0.0,0.0
2019-04-24 19:10:00,17.71,2057.91,0.0,0.0
2019-04-24 19:11:00,17.71,2057.41,0.0,0.0
2019-04-24 19:12:00,17.71,2057.07,0.0,0.0
2019-04-24 19:13:00,17.71,2056.4,0.0,0.0
2019-04-24 19:14:00,17.71,2056.31,0.0,0.0
2019-04-24 19:15:00,17.71,2056.26,0.0,0.0
2019-04-24 19:16:00,17.71,2055.83,0.0,0.0
2019-04-24 19:17:00,17.71,2055.01,0.0,0.0
2019-04-24 19:18:00,17.71,2054.79,0.0,0.0
2019-04-24 19:19:00,17.71,2055.17,0.0,0.1
2019-04-24 19:20:00,17.71,2056.38,0.0,0.93
2019-04-24 19:21:00,18.57,2057.62,0.85,1.4
2019-04-24 19:22:00,18.57,2059.92,0.0,1.51
2019-04-24 19:23:00,18.57,2063.34,0.0,2.79
2019-04-24 19:24:00,18.57,2063.72,0.0,1.88
2019-04-24 19:25:00,18.57,2062.04,0.0,0.27
2019-04-24 19:26:00,19.66,2062.32,1.09,0.03
2019-04-24 19:27:00,22.33,2063.25,2.68,0.9
2019-04-24 19:28:00,23.94,2063.98,1.6,0.82
2019-04-24 19:29:00,23.94,2064.88,0.0,0.81
2019-04-24 19:30:00,24.2,2065.13,0.26,0.56
2019-04-24 19:31:00,24.45,2065.76,0.26,0.54
2019-04-24 19:32:00,24.45,2065.74,0.0,0.04
2019-04-24 19:33:00,24.45,2065.37,0.0,0.09
2019-04-24 19:34:00,24.45,2064.3,0.0,0.0
2019-04-24 19:35:00,24.45,2063.14,0.0,0.0
2019-04-24 19:36:00,24.45,2061.36,0.0,0.0
2019-04-24 19:37:00,24.45,2059.35,0.0,0.0
2019-04-24 19:38:00,24.45,2058.29,0.0,0.0
2019-04-24 19:39:00,24.45,2057.36,0.0,0.0
2019-04-24 19:40:00,24.45,2056.87,0.0,0.0
2019-04-24 19:41:00,24.45,2056.53,0.0,0.0
2019-04-24 19:42:00,24.45,2055.6,0.0,0.0
2019-04-24 19:43:00,24.45,2054.65,0.0,0.0
2019-04-24 19:44:00,24.45,2054.27,0.0,0.0
2019-04-24 19:45:00,24.45,2053.75,0.0,0.0
2019-04-24 19:46:00,24.45,2052.85,0.0,0.0
2019-04-24 19:47:00,24.45,2052.93,0.0,0.0
2019-04-24 19:48:00,24.45,2053.16,0.0,0.16
2019-04-24 19:49:00,24.45,2052.66,0.0,0.08
2019-04-24 19:50:00,24.45,2051.83,0.0,0.0
2019-04-24 19:51:00,24.45,2052.14,0.0,0.06
2019-04-24 19:52:00,24.45,2053.6,0.0,1.07
2019-04-24 19:53:00,24.45,2054.25,0.0,1.22
2019-04-24 19:54:00,24.45,2052.35,0.0,0.07
2019-04-24 19:55:00,24.45,2052.31,0.0,0.0
2019-04-24 19:56:00,24.45,2053.29,0.0,0.45
2019-04-24 19:57:00,24.45,2055.22,0.0,1.66
2019-04-24 19:58:00,24.45,2055.65,0.0,0.97
2019-04-24 19:59:00,24.78,2057.02,0.33,1.08
2019-04-24 20:00:00,25.52,2057.59,0.73,1.01
2019-04-24 20:01:00,26.28,2057.04,0.76,0.14
2019-04-24 20:02:00,26.66,2056.95,0.39,0.0
2019-04-24 20:03:00,27.02,2057.01,0.35,0.0
2019-04-24 20:04:00,27.37,2057.22,0.35,0.11
2019-04-24 20:05:00,27.7,2057.51,0.33,0.27
2019-04-24 20:06:00,28.07,2057.53,0.37,0.11
2019-04-24 20:07:00,28.39,2057.62,0.33,0.0
2019-04-24 20:08:00,28.39,2057.82,0.0,0.08
2019-04-24 20:09:00,28.39,2058.21,0.0,0.34
2019-04-24 20:10:00,28.39,2058.27,0.0,0.23
2019-04-24 20:11:00,28.65,2058.14,0.26,0.0
2019-04-24 20:12:00,28.65,2058.2,0.0,0.0
2019-04-24 20:13:00,29.35,2058.53,0.7,0.15
2019-04-24 20:14:00,29.62,2059.83,0.27,0.77
2019-04-24 20:15:00,29.62,2061.3,0.0,1.56
2019-04-24 20:16:00,29.85,2061.45,0.23,0.53
2019-04-24 20:17:00,30.21,2061.55,0.36,0.03
2019-04-24 20:20:00,32.76,2062.43,0.18,0.03
2019-04-24 20:21:00,32.97,2062.55,0.2,0.08
2019-04-24 20:22:00,33.47,2062.5,0.5,0.01
2019-04-24 20:23:00,33.47,2062.73,0.0,0.05
2019-04-24 20:24:00,33.47,2063.2,0.0,0.46
2019-04-24 20:25:00,33.47,2063.24,0.0,0.14
2019-04-24 20:26:00,33.78,2063.26,0.32,0.05
2019-04-24 20:27:00,33.94,2063.22,0.15,0.0
2019-04-24 20:28:00,33.94,2062.7,0.0,0.0
2019-04-24 20:29:00,33.94,2062.21,0.0,0.0
2019-04-24 20:30:00,33.94,2061.6,0.0,0.0
2019-04-24 20:31:00,33.94,2060.44,0.0,0.0
2019-04-24 20:32:00,33.94,2059.03,0.0,0.0
2019-04-24 20:33:00,33.94,2057.92,0.0,0.0
2019-04-24 20:34:00,33.94,2057.58,0.0,0.0
2019-04-24 20:35:00,33.94,2056.9,0.0,0.0
2019-04-24 20:36:00,33.94,2057.03,0.0,0.02
2019-04-24 20:37:00,33.94,2057.52,0.0,0.44
2019-04-24 20:38:00,33.94,2057.88,0.0,0.46
2019-04-24 20:39:00,33.94,2057.67,0.0,0.14
2019-04-24 20:40:00,33.94,2057.29,0.0,0.0
2019-04-24 20:41:00,33.94,2057.49,0.0,0.05
2019-04-24 20:42:00,33.94,2057.23,0.0,0.05
2019-04-24 20:43:00,33.94,2056.99,0.0,0.0
2019-04-24 20:44:00,33.94,2057.5,0.0,0.19
2019-04-24 20:45:00,33.94,2057.83,0.0,0.55
2019-04-24 20:46:00,33.94,2057.67,0.0,0.04
2019-04-24 20:47:00,33.94,2058.47,0.0,0.35
2019-04-24 20:48:00,34.28,2061.0,0.34,1.56
2019-04-24 20:49:00,34.28,2061.15,0.0,1.69
2019-04-24 20:50:00,34.28,2060.14,0.0,0.06
2019-04-24 20:51:00,34.92,2060.24,0.64,0.01
2019-04-24 20:52:00,35.96,2060.66,1.04,0.34
2019-04-24 20:53:00,36.33,2061.04,0.37,0.36
2019-04-24 20:54:00,36.68,2061.67,0.36,0.53
2019-04-24 20:55:00,36.68,2062.07,0.0,0.57
2019-04-24 20:56:00,37.0,2062.4,0.32,0.27
2019-04-24 20:57:00,37.0,2062.3,0.0,0.13
2019-04-24 20:58:00,37.0,2061.92,0.0,0.0
2019-04-24 20:59:00,37.0,2061.52,0.0,0.0
2019-04-24 21:00:00,37.0,2061.2,0.0,0.0
2019-04-24 21:01:00,37.0,2060.96,0.0,0.0
2019-04-24 21:02:00,37.0,2061.56,0.0,0.15
2019-04-24 21:03:00,37.0,2063.0,0.0,1.32
2019-04-24 21:04:00,37.0,2062.19,0.0,0.39
2019-04-24 21:05:00,37.0,2062.46,0.0,0.05
2019-04-24 21:06:00,37.96,2062.55,0.95,0.24
2019-04-24 21:07:00,38.99,2062.78,1.04,0.05
2019-04-24 21:08:00,38.99,2063.91,0.0,0.67
2019-04-24 21:09:00,39.31,2065.14,0.32,1.28
2019-04-24 21:10:00,39.64,2066.14,0.33,1.13
2019-04-24 21:11:00,40.02,2066.21,0.38,0.52
2019-04-24 21:12:00,40.74,2066.43,0.72,0.04
2019-04-24 21:13:00,41.42,2066.63,0.67,0.31
2019-04-24 21:14:00,42.12,2066.67,0.7,0.01
2019-04-24 21:15:00,42.12,2066.6,0.0,0.0
2019-04-24 21:16:00,42.12,2066.44,0.0,0.0
2019-04-24 21:17:00,42.12,2066.21,0.0,0.0
2019-04-24 21:18:00,42.12,2066.07,0.0,0.0
2019-04-24 21:19:00,42.12,2065.43,0.0,0.0
2019-04-24 21:20:00,42.12,2064.68,0.0,0.0
2019-04-24 21:21:00,42.12,2063.67,0.0,0.0
2019-04-24 21:22:00,42.12,2062.38,0.0,0.0
2019-04-24 21:23:00,42.12,2061.93,0.0,0.0
2019-04-24 21:24:00,42.12,2061.58,0.0,0.0
2019-04-24 21:25:00,42.12,2060.97,0.0,0.0
2019-04-24 21:26:00,42.12,2060.08,0.0,0.0
2019-04-24 21:27:00,42.12,2059.76,0.0,0.0
2019-04-24 21:28:00,42.12,2060.12,0.0,0.08
2019-04-24 21:29:00,42.12,2061.87,0.0,0.95
2019-04-24 21:30:00,42.12,2064.03,0.0,2.06
2019-04-24 21:31:00,42.12,2064.21,0.0,1.24
2019-04-24 21:32:00,42.12,2064.44,0.0,0.37
2019-04-24 21:33:00,42.12,2062.81,0.0,0.01
2019-04-24 21:34:00,43.63,2063.01,1.51,0.03
2019-04-24 21:35:00,43.63,2063.1,0.0,0.2
2019-04-24 21:36:00,43.63,2063.03,0.0,0.0
2019-04-24 21:37:00,43.63,2063.12,0.0,0.06
2019-04-24 21:38:00,43.94,2063.27,0.32,0.02
2019-04-24 21:39:00,43.94,2063.26,0.0,0.16
2019-04-24 21:40:00,43.94,2063.03,0.0,0.0
2019-04-24 21:41:00,43.94,2062.41,0.0,0.0
2019-04-24 21:42:00,43.94,2061.53,0.0,0.0
2019-04-24 21:43:00,43.94,2060.51,0.0,0.0
2019-04-24 21:44:00,43.94,2059.27,0.0,0.0
2019-04-24 21:45:00,43.94,2057.91,0.0,0.0
2019-04-24 21:46:00,43.94,2057.35,0.0,0.0
2019-04-24 21:47:00,43.94,2057.26,0.0,0.0
2019-04-24 21:48:00,43.94,2056.83,0.0,0.0
2019-04-24 21:49:00,43.94,2055.94,0.0,0.0
2019-04-24 21:50:00,43.94,2055.48,0.0,0.0
2019-04-24 21:51:00,43.94,2055.35,0.0,0.0
2019-04-24 21:52:00,43.94,2055.12,0.0,0.0
2019-04-24 21:53:00,44.52,2055.95,0.57,0.25
2019-04-24 21:54:00,44.52,2059.85,0.0,3.01
2019-04-24 21:55:00,44.52,2059.87,0.0,2.34
2019-04-24 21:56:00,44.52,2058.71,0.0,0.0
2019-04-24 21:57:00,44.52,2063.02,0.0,1.91
2019-04-24 21:58:00,47.33,2065.74,2.82,4.73
2019-04-24 21:59:00,47.85,2065.69,0.52,1.5
2019-04-24 22:00:00,48.66,2066.1,0.81,0.09
2019-04-24 22:01:00,50.36,2067.82,1.7,1.16
2019-04-24 22:02:00,53.07,2068.13,2.7,1.21
2019-04-24 22:03:00,53.5,2069.08,0.43,0.66
2019-04-24 22:04:00,54.09,2069.39,0.6,0.23
2019-04-24 22:05:00,54.47,2069.23,0.37,0.16
2019-04-24 22:06:00,54.47,2069.25,0.0,0.06
2019-04-24 22:07:00,54.47,2068.13,0.0,0.0
2019-04-24 22:08:00,54.47,2067.38,0.0,0.0
2019-04-24 22:09:00,54.47,2066.71,0.0,0.0
2019-04-24 22:10:00,54.47,2065.78,0.0,0.0
2019-04-24 22:11:00,55.12,2065.7,0.66,0.0
2019-04-24 22:12:00,55.12,2066.13,0.0,0.41
2019-04-24 22:13:00,55.12,2065.93,0.0,0.31
2019-04-24 22:14:00,55.12,2065.77,0.0,0.0
2019-04-24 22:15:00,55.12,2065.55,0.0,0.0
2019-04-24 22:16:00,55.12,2065.74,0.0,0.05
2019-04-24 22:17:00,55.12,2065.98,0.0,0.24
2019-04-24 22:18:00,55.12,2065.93,0.0,0.09
2019-04-24 22:19:00,55.12,2065.84,0.0,0.0
2019-04-24 22:20:00,55.12,2065.84,0.0,0.0
2019-04-24 22:21:00,55.12,2066.08,0.0,0.09
2019-04-24 22:22:00,55.12,2066.58,0.0,0.28
2019-04-24 22:23:00,55.12,2067.02,0.0,0.73
2019-04-24 22:24:00,55.12,2067.12,0.0,0.43
2019-04-24 22:25:00,55.12,2067.08,0.0,0.0
2019-04-24 22:26:00,55.12,2067.71,0.0,0.27
2019-04-24 22:27:00,55.94,2068.27,0.82,0.77
2019-04-24 22:28:00,56.04,2067.89,0.1,0.09
2019-04-24 22:29:00,56.24,2068.12,0.2,0.06
2019-04-24 22:30:00,56.75,2068.09,0.5,0.09
2019-04-24 22:31:00,56.75,2067.99,0.0,0.0
2019-04-24 22:32:00,56.75,2067.76,0.0,0.0
2019-04-24 22:33:00,56.75,2067.42,0.0,0.0
2019-04-24 22:34:00,56.75,2067.11,0.0,0.0
2019-04-24 22:35:00,56.75,2066.74,0.0,0.0
2019-04-24 22:36:00,56.75,2066.48,0.0,0.0
2019-04-24 22:37:00,56.75,2066.62,0.0,0.03
2019-04-24 22:38:00,57.53,2068.06,0.78,0.62
2019-04-24 22:39:00,57.53,2068.6,0.0,1.37
2019-04-24 22:40:00,57.53,2069.75,0.0,0.75
2019-04-24 22:41:00,57.53,2069.89,0.0,0.81
2019-04-24 22:42:00,57.53,2069.21,0.0,0.07
2019-04-24 22:43:00,58.29,2069.4,0.76,0.06
2019-04-24 22:44:00,58.94,2070.26,0.65,0.47
2019-04-24 22:45:00,59.41,2072.92,0.47,1.77
2019-04-24 22:46:00,59.6,2074.08,0.19,1.86
2019-04-24 22:47:00,59.6,2074.0,0.0,0.76
2019-04-24 22:48:00,59.94,2074.48,0.34,0.12
2019-04-24 22:49:00,61.21,2074.64,1.28,0.55
2019-04-24 22:50:00,63.16,2074.4,1.94,0.0
2019-04-24 22:51:00,63.75,2074.68,0.59,0.09
2019-04-24 22:52:00,63.75,2074.81,0.0,0.32
2019-04-24 22:53:00,63.92,2074.89,0.18,0.0
2019-04-24 22:54:00,64.08,2075.14,0.15,0.21
2019-04-24 22:55:00,64.26,2075.14,0.19,0.18
2019-04-24 22:56:00,64.26,2075.46,0.0,0.07
2019-04-24 22:57:00,64.44,2075.43,0.18,0.29
2019-04-24 22:58:00,64.44,2075.07,0.0,0.0
2019-04-24 22:59:00,64.44,2074.67,0.0,0.0
2019-04-24 23:00:00,64.44,2073.3,0.0,0.0
2019-04-24 23:01:00,64.44,2072.89,0.0,0.0
2019-04-24 23:02:00,64.44,2072.15,0.0,0.0
2019-04-24 23:03:00,64.44,2071.66,0.0,0.0
2019-04-24 23:04:00,64.44,2071.63,0.0,0.0
2019-04-24 23:05:00,64.87,2091.21,0.43,0.16
2019-04-24 23:06:00,64.87,2105.02,0.0,0.0
2019-04-24 23:07:00,64.87,2102.89,0.0,0.0
2019-04-24 23:08:00,64.87,2104.08,0.0,0.0
2019-04-24 23:09:00,64.87,2098.38,0.0,0.0
2019-04-24 23:10:00,64.87,2115.95,0.0,0.0
2019-04-24 23:11:00,64.87,2119.11,0.0,0.0
2019-04-24 23:12:00,64.87,2109.59,0.0,0.0
2019-04-24 23:13:00,64.87,2153.06,0.0,0.0
2019-04-24 23:14:00,64.87,2012.19,0.0,0.0
2019-04-24 23:15:00,64.87,44.53,0.0,0.0
2019-04-24 23:16:00,64.87,91.06,0.0,0.0
2019-04-24 23:17:00,64.87,238.41,0.0,0.0
2019-04-24 23:18:00,64.87,238.05,0.0,0.0
2019-04-24 23:19:00,64.87,238.04,0.0,0.0
2019-04-24 23:20:00,64.87,238.02,0.0,0.0
2019-04-24 23:21:00,64.87,238.04,0.0,0.0
2019-04-24 23:22:00,64.87,238.06,0.0,0.0
2019-04-24 23:23:00,64.87,238.04,0.0,0.0
2019-04-24 23:24:00,64.87,238.05,0.0,0.0
2019-04-24 23:25:00,64.87,238.03,0.0,0.0
2019-04-24 23:26:00,64.87,238.08,0.0,0.0
2019-04-24 23:27:00,64.87,238.05,0.0,0.0
2019-04-24 23:28:00,64.87,238.05,0.0,0.0
2019-04-24 23:29:00,64.87,238.04,0.0,0.0
2019-04-24 23:30:00,64.87,238.05,0.0,0.0
2019-04-24 23:31:00,64.87,238.06,0.0,0.0
2019-04-24 23:32:00,64.87,238.04,0.0,0.0
2019-04-24 23:33:00,64.87,238.04,0.0,0.0
2019-04-24 23:34:00,64.87,238.04,0.0,0.0
2019-04-24 23:35:00,64.87,238.07,0.0,0.0
2019-04-24 23:36:00,64.87,238.04,0.0,0.0
2019-04-24 23:37:00,64.87,238.07,0.0,0.0
2019-04-24 23:38:00,64.87,238.04,0.0,0.0
2019-04-24 23:39:00,64.87,238.04,0.0,0.0
2019-04-24 23:40:00,64.87,238.05,0.0,0.0
2019-04-24 23:41:00,64.87,238.04,0.0,0.0
2019-04-24 23:42:00,64.87,238.04,0.0,0.0
2019-04-24 23:43:00,64.87,238.04,0.0,0.0
2019-04-24 23:44:00,64.87,238.07,0.0,0.0
2019-04-24 23:45:00,64.87,238.04,0.0,0.0
2019-04-24 23:46:00,64.87,238.04,0.0,0.0
2019-04-24 23:47:00,64.87,238.04,0.0,0.0
2019-04-24 23:48:00,64.87,238.07,0.0,0.0
2019-04-24 23:49:00,64.87,238.07,0.0,0.0
2019-04-24 23:50:00,64.87,238.04,0.0,0.0
2019-04-24 23:51:00,64.87,238.06,0.0,0.0
2019-04-24 23:52:00,64.87,238.05,0.0,0.0
2019-04-24 23:53:00,64.87,238.02,0.0,0.0
2019-04-24 23:54:00,64.87,238.01,0.0,0.0
2019-04-24 23:55:00,64.87,238.01,0.0,0.0
2019-04-24 23:56:00,64.87,238.01,0.0,0.0
2019-04-24 23:57:00,64.87,238.02,0.0,0.0
2019-04-24 23:58:00,64.87,238.01,0.0,0.0
2019-04-24 23:59:00,64.87,238.01,0.0,0.0
2019-04-25 00:00:00,64.87,238.0,0.0,0.0
2019-04-25 00:01:00,64.87,238.02,0.0,0.0
2019-04-25 00:02:00,64.87,238.01,0.0,0.0
2019-04-25 00:03:00,64.87,238.03,0.0,0.0
2019-04-25 00:04:00,64.87,238.01,0.0,0.0
2019-04-25 00:05:00,64.87,238.0,0.0,0.0
2019-04-25 00:06:00,64.87,238.01,0.0,0.0
2019-04-25 00:07:00,64.87,238.02,0.0,0.0
2019-04-25 00:08:00,64.87,238.01,0.0,0.0
2019-04-25 00:09:00,64.87,238.04,0.0,0.0
2019-04-25 00:10:00,64.87,238.02,0.0,0.0
2019-04-25 00:11:00,64.87,238.05,0.0,0.0
2019-04-25 00:12:00,64.87,238.03,0.0,0.0
2019-04-25 00:13:00,64.87,238.03,0.0,0.0
2019-04-25 00:14:00,64.87,238.0,0.0,0.0
2019-04-25 00:15:00,64.87,238.02,0.0,0.0
2019-04-25 00:16:00,64.87,238.01,0.0,0.0
2019-04-25 00:17:00,64.87,238.0,0.0,0.0
2019-04-25 00:18:00,64.87,237.99,0.0,0.0
2019-04-25 00:19:00,64.87,238.04,0.0,0.0
2019-04-25 00:20:00,64.87,238.01,0.0,0.0
2019-04-25 00:21:00,64.87,237.98,0.0,0.0
2019-04-25 00:22:00,64.87,237.99,0.0,0.0
2019-04-25 00:23:00,64.87,237.99,0.0,0.0
2019-04-25 00:24:00,64.87,237.98,0.0,0.0
2019-04-25 00:25:00,64.87,237.97,0.0,0.0
2019-04-25 00:26:00,64.87,237.98,0.0,0.0
2019-04-25 00:27:00,64.87,237.97,0.0,0.0
2019-04-25 00:28:00,64.87,237.97,0.0,0.0
2019-04-25 00:29:00,64.87,237.97,0.0,0.0
2019-04-25 00:30:00,64.87,237.99,0.0,0.0
2019-04-25 00:31:00,64.87,237.98,0.0,0.0
2019-04-25 00:32:00,64.87,237.96,0.0,0.0
2019-04-25 00:33:00,64.87,237.96,0.0,0.0
2019-04-25 00:34:00,64.87,237.95,0.0,0.0
2019-04-25 00:35:00,64.87,237.95,0.0,0.0
2019-04-25 00:36:00,64.87,237.96,0.0,0.0
2019-04-25 00:37:00,64.87,237.96,0.0,0.0
2019-04-25 00:38:00,64.87,237.99,0.0,0.0
2019-04-25 00:39:00,64.87,237.98,0.0,0.0
2019-04-25 00:40:00,64.87,237.95,0.0,0.0
2019-04-25 00:41:00,64.87,237.97,0.0,0.0
2019-04-25 00:42:00,64.87,237.97,0.0,0.0
2019-04-25 00:43:00,64.87,237.94,0.0,0.0
2019-04-25 00:44:00,64.87,237.93,0.0,0.0
2019-04-25 00:45:00,64.87,237.93,0.0,0.0
2019-04-25 00:46:00,64.87,237.93,0.0,0.0
2019-04-25 00:47:00,64.87,237.95,0.0,0.0
2019-04-25 00:48:00,64.87,237.93,0.0,0.0
2019-04-25 00:49:00,64.87,237.95,0.0,0.0
2019-04-25 00:50:00,64.87,237.94,0.0,0.0
2019-04-25 00:51:00,64.87,237.95,0.0,0.0
2019-04-25 00:52:00,64.87,237.94,0.0,0.0
2019-04-25 00:53:00,64.87,237.95,0.0,0.0
2019-04-25 00:54:00,64.87,237.96,0.0,0.0
2019-04-25 00:55:00,64.87,237.95,0.0,0.0
2019-04-25 00:56:00,64.87,237.95,0.0,0.0
2019-04-25 00:57:00,64.87,237.94,0.0,0.0
2019-04-25 00:58:00,64.87,237.94,0.0,0.0
2019-04-25 00:59:00,64.87,237.96,0.0,0.0
2019-04-25 01:00:00,64.87,237.96,0.0,0.0
2019-04-25 01:01:00,64.87,237.95,0.0,0.0
2019-04-25 01:02:00,64.87,237.94,0.0,0.0
2019-04-25 01:03:00,64.87,237.95,0.0,0.0
2019-04-25 01:04:00,64.87,237.95,0.0,0.0
2019-04-25 01:05:00,64.87,237.94,0.0,0.0
2019-04-25 01:06:00,64.87,237.94,0.0,0.0
2019-04-25 01:07:00,64.87,237.94,0.0,0.0
2019-04-25 01:08:00,64.87,237.95,0.0,0.0
2019-04-25 01:09:00,64.87,237.95,0.0,0.0
2019-04-25 01:10:00,64.87,237.95,0.0,0.0
2019-04-25 01:11:00,64.87,237.95,0.0,0.0
2019-04-25 01:12:00,64.87,237.96,0.0,0.0
2019-04-25 01:13:00,64.87,237.95,0.0,0.0
2019-04-25 01:14:00,64.87,237.96,0.0,0.0
2019-04-25 01:15:00,64.87,237.96,0.0,0.0
2019-04-25 01:16:00,64.87,237.96,0.0,0.0
2019-04-25 01:17:00,64.87,237.94,0.0,0.0
2019-04-25 01:18:00,64.87,237.95,0.0,0.0
2019-04-25 01:19:00,64.87,237.99,0.0,0.0
2019-04-25 01:20:00,64.87,237.97,0.0,0.0
2019-04-25 01:21:00,64.87,237.95,0.0,0.0
2019-04-25 01:22:00,64.87,237.95,0.0,0.0
2019-04-25 01:23:00,64.87,237.95,0.0,0.0
2019-04-25 01:24:00,64.87,237.94,0.0,0.0
2019-04-25 01:25:00,64.87,237.94,0.0,0.0
2019-04-25 01:26:00,64.87,237.95,0.0,0.0
2019-04-25 01:27:00,64.87,237.94,0.0,0.0
2019-04-25 01:28:00,64.87,237.95,0.0,0.0
2019-04-25 01:29:00,64.87,237.94,0.0,0.0
2019-04-25 01:30:00,64.87,237.95,0.0,0.0
2019-04-25 01:31:00,64.87,237.95,0.0,0.0
2019-04-25 01:32:00,64.87,237.96,0.0,0.0
2019-04-25 01:33:00,64.87,237.96,0.0,0.0
2019-04-25 01:34:00,64.87,237.95,0.0,0.0
2019-04-25 01:35:00,64.87,237.98,0.0,0.0
2019-04-25 01:36:00,64.87,237.97,0.0,0.0
2019-04-25 01:37:00,64.87,237.98,0.0,0.0
2019-04-25 01:38:00,64.87,237.96,0.0,0.0
2019-04-25 01:39:00,64.87,237.97,0.0,0.0
2019-04-25 01:40:00,64.87,237.97,0.0,0.0
